2023-11-15 22:19:48.5146|Microsoft.AspNetCore.Mvc.ModelBinding.ModelBinderFactory|DEBUG|Registered model binder providers, in the following order: Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BinderTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ServicesModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.BodyModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.HeaderModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FloatingPointTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.EnumTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DateTimeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.SimpleTypeModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CancellationTokenModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ByteArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormFileModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.FormCollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.KeyValuePairModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DictionaryModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ArrayModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.CollectionModelBinderProvider, Microsoft.AspNetCore.Mvc.ModelBinding.Binders.ComplexObjectModelBinderProvider 
2023-11-15 22:19:48.6161|Microsoft.Extensions.Hosting.Internal.Host|DEBUG|Hosting starting 
2023-11-15 22:19:49.2012|Microsoft.AspNetCore.Server.Kestrel.Core.KestrelServer|DEBUG|Using development certificate: CN=localhost (Thumbprint: 98386B52ABDC9D26CCAE00A7DA05EA2ED4C5BB4A) 
2023-11-15 22:19:49.2518|Microsoft.Hosting.Lifetime|INFO|Now listening on: https://localhost:7255 
2023-11-15 22:19:49.2518|Microsoft.Hosting.Lifetime|INFO|Now listening on: http://localhost:5142 
2023-11-15 22:19:49.2518|Microsoft.AspNetCore.Hosting.Diagnostics|DEBUG|Loaded hosting startup assembly demo 
2023-11-15 22:19:49.2518|Microsoft.AspNetCore.Hosting.Diagnostics|DEBUG|Loaded hosting startup assembly Microsoft.AspNetCore.Watch.BrowserRefresh 
2023-11-15 22:19:49.2518|Microsoft.AspNetCore.Hosting.Diagnostics|DEBUG|Loaded hosting startup assembly Microsoft.WebTools.BrowserLink.Net 
2023-11-15 22:19:49.2518|Microsoft.Hosting.Lifetime|INFO|Application started. Press Ctrl+C to shut down. 
2023-11-15 22:19:49.2518|Microsoft.Hosting.Lifetime|INFO|Hosting environment: Development 
2023-11-15 22:19:49.2518|Microsoft.Hosting.Lifetime|INFO|Content root path: E:\C#学习项目\.NET6-Core-WebApi\WebApplic\demo\ 
2023-11-15 22:19:49.2518|Microsoft.Extensions.Hosting.Internal.Host|DEBUG|Hosting started 
2023-11-15 22:19:49.6978|Microsoft.AspNetCore.Server.Kestrel.Connections|DEBUG|Connection id "0HMV5SNMN2IST" accepted. 
2023-11-15 22:19:49.6978|Microsoft.AspNetCore.Server.Kestrel.Connections|DEBUG|Connection id "0HMV5SNMN2ISU" accepted. 
2023-11-15 22:19:49.6978|Microsoft.AspNetCore.Server.Kestrel.Connections|DEBUG|Connection id "0HMV5SNMN2ISU" started. 
2023-11-15 22:19:49.6978|Microsoft.AspNetCore.Server.Kestrel.Connections|DEBUG|Connection id "0HMV5SNMN2IST" started. 
2023-11-15 22:19:49.7576|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|DEBUG|Connection id "0HMV5SNMN2IST" received FIN. 
2023-11-15 22:19:49.7576|Microsoft.AspNetCore.Server.Kestrel.Transport.Sockets|DEBUG|Connection id "0HMV5SNMN2ISU" received FIN. 
2023-11-15 22:19:49.7768|Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionMiddleware|DEBUG|Failed to authenticate HTTPS connection. System.IO.IOException:  Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.<FillHandshakeBufferAsync>g__InternalFillHandshakeBufferAsync|189_0[TIOAdapter](TIOAdapter adap, ValueTask`1 task, Int32 minSize)
   at System.Net.Security.SslStream.ReceiveBlobAsync[TIOAdapter](TIOAdapter adapter)
